;FECHA;ENERGIA
499;09/09/2020;378811.8655
500;10/09/2020;388006.3964
501;11/09/2020;384688.1826
502;12/09/2020;335098.5628
503;13/09/2020;260522.2384
504;14/09/2020;376297.2929
505;15/09/2020;400489.4244
506;16/09/2020;400964.1179
507;17/09/2020;332186.606
508;18/09/2020;381302.7432
509;19/09/2020;340781.3228
510;20/09/2020;260124.1693
511;21/09/2020;374635.5451
512;22/09/2020;398986.869
513;23/09/2020;400095.2827
514;24/09/2020;402558.2923
515;25/09/2020;395703.1944
516;26/09/2020;340638.7177
517;27/09/2020;262671.5713
518;28/09/2020;376883.9731
519;29/09/2020;390707.6549
520;30/09/2020;391290.5905
521;01/10/2020;401762.823
522;02/10/2020;402650.7876
523;03/10/2020;347162.5998
524;04/10/2020;266242.0849
525;05/10/2020;388398.329
526;06/10/2020;404913.1195
527;07/10/2020;409319.0538
528;08/10/2020;413818.8809
529;09/10/2020;404975.3406
530;10/10/2020;361412.6117
531;11/10/2020;278368.5793
532;12/10/2020;288420.2479
533;13/10/2020;402741.9804
534;14/10/2020;426120.1736
535;15/10/2020;427583.8336
536;16/10/2020;419598.107
537;17/10/2020;367265.6267
538;18/10/2020;285972.6097
539;19/10/2020;390906.1135
540;20/10/2020;408697.5425
541;21/10/2020;409369.6076
542;22/10/2020;418494.8705
543;23/10/2020;414147.7867
544;24/10/2020;359304.5034
545;25/10/2020;277728.564
546;26/10/2020;415394.1084
547;27/10/2020;430230.5667
548;28/10/2020;418581.1747
549;29/10/2020;422197.7869
550;30/10/2020;418779.2533
551;31/10/2020;352146.0476
552;01/11/2020;272598.6948
553;02/11/2020;292983.9658
554;03/11/2020;413452.8354
555;04/11/2020;426841.9155
556;05/11/2020;425003.115
557;06/11/2020;425402.8305
558;07/11/2020;370851.2506
559;08/11/2020;287461.9284
560;09/11/2020;411756.9992
561;10/11/2020;424481.1521
562;11/11/2020;428452.1837
563;12/11/2020;425795.0127
564;13/11/2020;426562.4697
565;14/11/2020;371045.7376
566;15/11/2020;283773.574
567;16/11/2020;296946.3175
568;17/11/2020;414428.4066
569;18/11/2020;429967.5015
570;19/11/2020;438312.064
571;20/11/2020;432249.0371
572;21/11/2020;377403.966
573;22/11/2020;295334.5592
574;23/11/2020;432596.6066
575;24/11/2020;448791.4963
576;25/11/2020;447609.7741
577;26/11/2020;450147.4151
578;27/11/2020;445976.0814
579;28/11/2020;383164.3344
580;29/11/2020;303688.8873
581;30/11/2020;428588.1149
582;01/12/2020;444464.2103
583;02/12/2020;437005.7822
584;03/12/2020;443742.4817
585;04/12/2020;450563.4901
586;05/12/2020;398687.0626
587;06/12/2020;310933.1118
588;07/12/2020;412786.2625
589;08/12/2020;326759.5454
590;09/12/2020;438393.5715
591;10/12/2020;451257.5393
592;11/12/2020;456243.3652
593;12/12/2020;401761.1101
594;13/12/2020;319566.2395
595;14/12/2020;442379.8171
596;15/12/2020;458234.3317
597;16/12/2020;464336.1561
598;17/12/2020;460170.0451
599;18/12/2020;457406.5447
600;19/12/2020;406108.2884
601;20/12/2020;317774.2519
602;21/12/2020;437672.5898
